job_id,title,company,location,job_url,source,search_term,scraped_at,applied,notes
52d911dd7bb2d215,AI data engineer trainee,Crossroad Elf DSS pvt.ltd,"HSR Layout, Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=52d911dd7bb2d215,Indeed,Artificial Intelligence Engineer,2026-05-30 16:53,No,
7a416615184d379a,Agentic AI Engineer,Utah Tech Labs,"Hybrid work in New Town, Kolkata, West Bengal",https://in.indeed.com/viewjob?jk=7a416615184d379a,Indeed,Artificial Intelligence Engineer,2026-06-07 15:01,No,
8409e781e92380d5,Agentic AI Engineer – Prompt Engineering & Quality Assurance,Adra Product Studio,"Coimbatore, Tamil Nadu",https://in.indeed.com/viewjob?jk=8409e781e92380d5,Indeed,Artificial Intelligence Engineer,2026-06-07 15:01,No,
7b3bb7ef9660815b,"Full Stack Engineer (.Net, React and Azure cloud with AI Tool)",Optum,"Gurugram, Haryana",https://in.indeed.com/viewjob?jk=7b3bb7ef9660815b,Indeed,Artificial Intelligence Engineer,2026-06-07 15:01,No,
1de36714c5f48dd8,AI & Machine Learning Engineer,ITC WORLDWIDE,"Rajbari, West Bengal",https://in.indeed.com/viewjob?jk=1de36714c5f48dd8,Indeed,Artificial Intelligence Engineer,2026-06-07 15:01,No,
954cba46be8495e7,AI Engineer Intern,Rupeestop LLP,"Jaipur, Rajasthan",https://in.indeed.com/viewjob?jk=954cba46be8495e7,Indeed,Artificial Intelligence Engineer,2026-06-07 15:01,No,
cb5010bc93011c0e,AI/ML Engineer data scientist,Predigle,"Hybrid work in Guindy, Chennai, Tamil Nadu",https://in.indeed.com/viewjob?jk=cb5010bc93011c0e,Indeed,Artificial Intelligence Engineer,2026-06-07 15:01,No,
c9e9ff0a3339246a,AI Developer Trainee,Analytix Corporate Solutions Pvt Ltd,"Kochi, Kerala",https://in.indeed.com/viewjob?jk=c9e9ff0a3339246a,Indeed,Artificial Intelligence Engineer,2026-06-07 15:01,No,
70fd157e295e8e35,AI Engineer,GenticAI,Remote,https://in.indeed.com/viewjob?jk=70fd157e295e8e35,Indeed,Artificial Intelligence Engineer,2026-06-07 15:01,No,
22b77a6fe946a42f,AI/ML Engineer,Applied Retention,"Mumbai, Maharashtra",https://in.indeed.com/viewjob?jk=22b77a6fe946a42f,Indeed,Artificial Intelligence Engineer,2026-06-07 15:01,No,
0aabb8111469f3c4,AI Engineer,AABM Clouds Data Solutions,Remote,https://in.indeed.com/viewjob?jk=0aabb8111469f3c4,Indeed,Artificial Intelligence Engineer,2026-06-07 15:01,No,
4b33da2ace02a647,AI Engineer,Midbrains Technologies,"Wakad, Pune, Maharashtra",https://in.indeed.com/viewjob?jk=4b33da2ace02a647,Indeed,Artificial Intelligence Engineer,2026-06-07 15:01,No,
fb1dc55cc968c156,Artificial Intelligence Engineer,Gashwa Technologies Private Limited,"Shimla, Himachal Pradesh",https://in.indeed.com/viewjob?jk=fb1dc55cc968c156,Indeed,Artificial Intelligence Engineer,2026-06-07 15:01,No,
4a0811315c96f270,AI Engineer,A2S HR SERVICES,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=4a0811315c96f270,Indeed,Artificial Intelligence Engineer,2026-06-07 15:01,No,
a443be531438eede,AI/ML Engineer,MEG WORLD TECHNOLOGIES,"Nungambakkam, Chennai, Tamil Nadu",https://in.indeed.com/viewjob?jk=a443be531438eede,Indeed,Machine Learning Engineer,2026-06-07 15:01,No,
d087419bb23f38fe,Python Developer Intern,Tamizha Media Pvt Ltd,"Coimbatore, Tamil Nadu",https://in.indeed.com/viewjob?jk=d087419bb23f38fe,Indeed,Python Developer Intern,2026-06-07 15:01,No,
d697ac2249c3f513,Agentic AI Developer Intern (Final Year Students),CBC,"Hybrid work in Bangalore City, Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=d697ac2249c3f513,Indeed,Artificial Intelligence Engineer,2026-06-14 20:35,No,
7497fa6d40ca68fe,AI Engineer Intern,OrbitXII technologies,Remote,https://in.indeed.com/viewjob?jk=7497fa6d40ca68fe,Indeed,Artificial Intelligence Engineer,2026-06-14 20:35,No,
82712b37932944bf,Python Engineer- Agentic AI,Aliqan Technologies,"Bengaluru Rural District, Karnataka",https://in.indeed.com/viewjob?jk=82712b37932944bf,Indeed,Artificial Intelligence Engineer,2026-06-14 20:35,No,
436ed546e8045125,AI Developer,Smartway Technoway Pvt Ltd.,"Thaltej, Ahmedabad, Gujarat",https://in.indeed.com/viewjob?jk=436ed546e8045125,Indeed,Artificial Intelligence Engineer,2026-06-14 20:35,No,
0fda5e9db2f45d5d,AI Software Developer,WORKSBOT APPLICATION PRIVATE LIMITED,"Hybrid work in Chennai, Tamil Nadu",https://in.indeed.com/viewjob?jk=0fda5e9db2f45d5d,Indeed,Artificial Intelligence Engineer,2026-06-14 20:35,No,
e5d1f538aadd4a71,AI/Machine Learning Engineer,Quest America,Remote,https://in.indeed.com/viewjob?jk=e5d1f538aadd4a71,Indeed,Artificial Intelligence Engineer,2026-06-14 20:35,No,
b96aacb265a13cf3,AI/ML Engineer – Remote Sensing & Geospatial Analytics,advance technologies,"Bangalore City, Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=b96aacb265a13cf3,Indeed,Artificial Intelligence Engineer,2026-06-14 20:35,No,
c820698e5616aeaa,AI/ML Engineer,iMentus Technologies Pvt.Ltd.,"Indore, Madhya Pradesh",https://in.indeed.com/viewjob?jk=c820698e5616aeaa,Indeed,Artificial Intelligence Engineer,2026-06-14 20:35,No,
e87f42db7ce56102,CA0340 - Agentic AI Engineer,Cloudangles,"Hyderabad, Telangana",https://in.indeed.com/viewjob?jk=e87f42db7ce56102,Indeed,Artificial Intelligence Engineer,2026-06-14 20:35,No,
525303ba8ea7e7a0,AI/ML Engineer,AARELUS TECHNOLOGIES,Remote,https://in.indeed.com/viewjob?jk=525303ba8ea7e7a0,Indeed,Artificial Intelligence Engineer,2026-06-14 20:35,No,
a85163b3dccf215a,AI/ML Engineer,Imentus Technologies,"Indore, Madhya Pradesh",https://in.indeed.com/viewjob?jk=a85163b3dccf215a,Indeed,Artificial Intelligence Engineer,2026-06-14 20:35,No,
518acc943968fd84,AI Engineer Intern,EGS SOFTWARE SOLUTIONS,"Tiruchirappalli, Tamil Nadu",https://in.indeed.com/viewjob?jk=518acc943968fd84,Indeed,Artificial Intelligence Engineer,2026-06-14 20:35,No,
760a7c370d176df3,AI developer/ python,Kenovate solutions,"Gurugram, Haryana",https://in.indeed.com/viewjob?jk=760a7c370d176df3,Indeed,Artificial Intelligence Engineer,2026-06-14 20:35,No,
ee29a80384ec36fa,AI Software Engineer,Worksbot Applications Private Limited,"Remote in Chennai, Tamil Nadu",https://in.indeed.com/viewjob?jk=ee29a80384ec36fa,Indeed,Artificial Intelligence Engineer,2026-06-14 20:35,No,
548bc8ea34c1892b,AI Intern / AI Engineer,PyxTech,"Pune, Maharashtra",https://in.indeed.com/viewjob?jk=548bc8ea34c1892b,Indeed,Machine Learning Engineer,2026-06-14 20:35,No,
5157d7149239c211,AI Engineer,Aertrip India Limited,"Ghitorni, Delhi, Delhi",https://in.indeed.com/viewjob?jk=5157d7149239c211,Indeed,Artificial Intelligence Engineer,2026-06-18 01:02,No,
